Entity,Code,Date,Daily confirmed cases (cases)
Afghanistan,AFG,31-Dec-19,0
Afghanistan,AFG,1-Jan-20,0
Afghanistan,AFG,2-Jan-20,0
Afghanistan,AFG,3-Jan-20,0
Afghanistan,AFG,4-Jan-20,0
Afghanistan,AFG,5-Jan-20,0
Afghanistan,AFG,6-Jan-20,0
Afghanistan,AFG,7-Jan-20,0
Afghanistan,AFG,8-Jan-20,0
Afghanistan,AFG,9-Jan-20,0
Afghanistan,AFG,10-Jan-20,0
Afghanistan,AFG,11-Jan-20,0
Afghanistan,AFG,12-Jan-20,0
Afghanistan,AFG,13-Jan-20,0
Afghanistan,AFG,14-Jan-20,0
Afghanistan,AFG,15-Jan-20,0
Afghanistan,AFG,16-Jan-20,0
Afghanistan,AFG,17-Jan-20,0
Afghanistan,AFG,18-Jan-20,0
Afghanistan,AFG,19-Jan-20,0
Afghanistan,AFG,20-Jan-20,0
Afghanistan,AFG,21-Jan-20,0
Afghanistan,AFG,22-Jan-20,0
Afghanistan,AFG,23-Jan-20,0
Afghanistan,AFG,24-Jan-20,0
Afghanistan,AFG,25-Jan-20,0
Afghanistan,AFG,26-Jan-20,0
Afghanistan,AFG,27-Jan-20,0
Afghanistan,AFG,28-Jan-20,0
Afghanistan,AFG,29-Jan-20,0
Afghanistan,AFG,30-Jan-20,0
Afghanistan,AFG,31-Jan-20,0
Afghanistan,AFG,1-Feb-20,0
Afghanistan,AFG,2-Feb-20,0
Afghanistan,AFG,3-Feb-20,0
Afghanistan,AFG,4-Feb-20,0
Afghanistan,AFG,5-Feb-20,0
Afghanistan,AFG,6-Feb-20,0
Afghanistan,AFG,7-Feb-20,0
Afghanistan,AFG,8-Feb-20,0
Afghanistan,AFG,9-Feb-20,0
Afghanistan,AFG,10-Feb-20,0
Afghanistan,AFG,11-Feb-20,0
Afghanistan,AFG,12-Feb-20,0
Afghanistan,AFG,13-Feb-20,0
Afghanistan,AFG,14-Feb-20,0
Afghanistan,AFG,15-Feb-20,0
Afghanistan,AFG,16-Feb-20,0
Afghanistan,AFG,17-Feb-20,0
Afghanistan,AFG,18-Feb-20,0
Afghanistan,AFG,19-Feb-20,0
Afghanistan,AFG,20-Feb-20,0
Afghanistan,AFG,21-Feb-20,0
Afghanistan,AFG,22-Feb-20,0
Afghanistan,AFG,23-Feb-20,0
Afghanistan,AFG,24-Feb-20,0
Afghanistan,AFG,25-Feb-20,1
Afghanistan,AFG,26-Feb-20,0
Afghanistan,AFG,27-Feb-20,0
Afghanistan,AFG,28-Feb-20,0
Afghanistan,AFG,29-Feb-20,0
Afghanistan,AFG,1-Mar-20,0
Afghanistan,AFG,2-Mar-20,0
Afghanistan,AFG,8-Mar-20,3
Afghanistan,AFG,11-Mar-20,3
Afghanistan,AFG,15-Mar-20,3
Afghanistan,AFG,16-Mar-20,6
Afghanistan,AFG,17-Mar-20,5
Afghanistan,AFG,18-Mar-20,1
Afghanistan,AFG,19-Mar-20,0
Afghanistan,AFG,20-Mar-20,0
Afghanistan,AFG,21-Mar-20,2
Afghanistan,AFG,22-Mar-20,0
Afghanistan,AFG,23-Mar-20,10
Afghanistan,AFG,24-Mar-20,6
Afghanistan,AFG,25-Mar-20,2
Afghanistan,AFG,26-Mar-20,33
Afghanistan,AFG,27-Mar-20,0
Afghanistan,AFG,28-Mar-20,16
Afghanistan,AFG,29-Mar-20,15
Afghanistan,AFG,30-Mar-20,8
Afghanistan,AFG,31-Mar-20,27
Afghanistan,AFG,1-Apr-20,25
Afghanistan,AFG,2-Apr-20,26
Afghanistan,AFG,3-Apr-20,43
Afghanistan,AFG,4-Apr-20,0
Afghanistan,AFG,5-Apr-20,35
Afghanistan,AFG,6-Apr-20,29
Afghanistan,AFG,7-Apr-20,38
Afghanistan,AFG,8-Apr-20,30
Afghanistan,AFG,9-Apr-20,56
Afghanistan,AFG,10-Apr-20,61
Afghanistan,AFG,11-Apr-20,37
Afghanistan,AFG,12-Apr-20,34
Afghanistan,AFG,13-Apr-20,52
Afghanistan,AFG,14-Apr-20,58
Afghanistan,AFG,15-Apr-20,49
Afghanistan,AFG,16-Apr-20,70
Afghanistan,AFG,17-Apr-20,10
Afghanistan,AFG,18-Apr-20,51
Afghanistan,AFG,19-Apr-20,63
Afghanistan,AFG,20-Apr-20,88
Afghanistan,AFG,21-Apr-20,35
Afghanistan,AFG,22-Apr-20,61
Afghanistan,AFG,23-Apr-20,84
Afghanistan,AFG,24-Apr-20,105
Afghanistan,AFG,25-Apr-20,70
Afghanistan,AFG,26-Apr-20,112
Afghanistan,AFG,27-Apr-20,68
Afghanistan,AFG,28-Apr-20,172
Afghanistan,AFG,29-Apr-20,124
Afghanistan,AFG,30-Apr-20,122
Afghanistan,AFG,1-May-20,222
Afghanistan,AFG,2-May-20,164
Afghanistan,AFG,3-May-20,134
Afghanistan,AFG,4-May-20,235
Afghanistan,AFG,5-May-20,190
Afghanistan,AFG,6-May-20,330
Afghanistan,AFG,7-May-20,168
Afghanistan,AFG,8-May-20,171
Afghanistan,AFG,9-May-20,215
Afghanistan,AFG,10-May-20,255
Afghanistan,AFG,11-May-20,369
Afghanistan,AFG,12-May-20,285
Afghanistan,AFG,13-May-20,280
Afghanistan,AFG,14-May-20,259
Afghanistan,AFG,15-May-20,113
Afghanistan,AFG,16-May-20,1063
Afghanistan,AFG,17-May-20,0
