DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
2/29/2020,1,13,0
3/1/2020,1,4,0
3/2/2020,0,22,0
3/3/2020,2,19,0
3/4/2020,5,21,0
3/5/2020,3,19,0
3/6/2020,8,19,0
3/7/2020,7,15,0
3/8/2020,21,16,0
3/9/2020,58,49,0
3/10/2020,70,61,0
3/11/2020,154,88,1
3/12/2020,356,90,0
3/13/2020,620,146,0
3/14/2020,642,156,2
3/15/2020,1033,191,5
3/16/2020,2122,308,9
3/17/2020,2455,355,8
3/18/2020,2980,464,20
3/19/2020,3712,549,24
3/20/2020,4011,660,46
3/21/2020,2638,693,44
3/22/2020,2579,725,50
3/23/2020,3565,1028,82
3/24/2020,4498,1147,94
3/25/2020,4840,1295,120
3/26/2020,5024,1426,186
3/27/2020,5096,1377,212
3/28/2020,3459,1343,265
3/29/2020,3526,1388,285
3/30/2020,6112,1689,320
3/31/2020,5432,1641,372
4/1/2020,5436,1544,431
4/2/2020,5753,1598,486
4/3/2020,5660,1593,483
4/4/2020,3856,1322,488
4/5/2020,3776,1320,566
4/6/2020,6367,1698,564
4/7/2020,6050,1571,590
4/8/2020,5563,1519,544
4/9/2020,5039,1405,534
4/10/2020,4497,1314,517
4/11/2020,3710,1078,523
4/12/2020,2870,980,555
4/13/2020,3300,1202,549
4/14/2020,4126,1058,503
4/15/2020,3863,975,437
4/16/2020,3517,861,398
4/17/2020,3574,887,365
4/18/2020,2164,640,360
4/19/2020,2343,586,373
4/20/2020,3776,710,347
4/21/2020,3053,646,305
4/22/2020,3447,589,297
4/23/2020,2841,523,307
4/24/2020,2535,540,298
4/25/2020,1594,399,239
4/26/2020,1006,377,231
4/27/2020,2282,440,255
4/28/2020,2723,440,217
4/29/2020,2340,406,230
4/30/2020,2014,330,207
5/1/2020,1880,342,202
5/2/2020,1055,259,186
5/3/2020,783,253,167
5/4/2020,1547,290,149
5/5/2020,1508,261,141
5/6/2020,1401,247,137
5/7/2020,1231,239,129
5/8/2020,1086,242,119
5/9/2020,660,167,99
5/10/2020,460,140,91
5/11/2020,1230,242,98
5/12/2020,1283,203,86
5/13/2020,1331,209,72
5/14/2020,1108,196,63
5/15/2020,869,217,85
5/16/2020,488,149,74
5/17/2020,358,119,69
5/18/2020,896,157,47
5/19/2020,996,198,50
5/20/2020,1029,151,72
5/21/2020,1032,163,38
5/22/2020,1004,188,56
5/23/2020,453,114,51
5/24/2020,473,107,39
5/25/2020,453,131,37
5/26/2020,911,143,27
5/27/2020,629,148,34
5/28/2020,399,114,27
5/29/2020,259,82,23
5/30/2020,120,39,20
5/31/2020,65,7,2
6/1/2020,21,0,0
